query_id,query_text,total_answers,retrieved_count,missed_count,recall@50,recall@20,hit@1,hit@5,mrr,recall@20_vss_merged
12661,Find papers from Pittsburg State University researchers on dark matter exploration through gamma rays.,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
11538,"Find publications by co-authors of ""Validity of the generalized density matrix method for the microscopic calculation of a collective/bosonic Hamiltonian"", which also explore the topic of thermalization in small isolated systems.",2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
8029,"What other research papers on quiet sun magnetism has the study ""Spectropolarimetric Evidence for a Siphon Flow along an Emerging Magnetic Flux Tube"" cited?",6,6,0,1.0,1.0,1.0,1.0,1.0,1.0
11635,Show me publications by F. Pallas that discuss a multifunctional laser system.,2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
9132,Show me publications by M. Giunta exploring constraints on a lightweight pseudoscalar Higgs particle.,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
6448,"What are some other works that have referenced or examined ""Stochastic Background of Gravitational Waves from Fermions -- Theory and Applications"" in relation to anisotropies in the gravitational wave background?",4,4,0,1.0,1.0,1.0,1.0,1.0,0.75
467,"Can you find papers that explore Pc4-5 pulsations' influence on chorus waves and are referenced in ""Cluster observations of whistler mode ducts and banded chorus""?",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
3671,Which publications by Monash University South Africa scholars focus on germanium defect analysis?,1,1,0,1.0,1.0,0.0,0.0,0.125,1.0
10579,"Find more publications from the co-authors of ""Intense EM filamentation in relativistic hot plasmas"" that delve into the principles of self-organization.",10,0,10,0.0,0.0,0.0,0.0,0.0,0.0
653,Show me publications by R. Brown on the formation of high-temperature field configurations through the merging of compact toroids.,2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
13234,Show me publications on gravity theories from the co-authors involved in the 'Extensions of Lorentzian spacetime geometry: From Finsler to Cartan and vice versa' paper.,19,19,0,1.0,1.0,1.0,1.0,1.0,0.7368421052631579
10701,Show me publications by L. Lebanowski related to the study of neutrino oscillation experiments.,7,7,0,1.0,1.0,1.0,1.0,1.0,1.0
9338,"What research papers that delve into heat transfer optimization methods have been referenced in the study titled ""Temperature–heat diagram analysis method for heat recovery physical adsorption refrigeration cycle – Taking multi-stage cycle as an example""?",2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
6455,Search for publications by Marco Breschi on thermal properties.,10,7,3,0.7,0.7,1.0,1.0,1.0,0.6
9771,Show me research articles on Dynamic contrast-enhanced magnetic resonance imaging that investigate compressed sensing techniques for real-time monitoring of lung tumor movement.,2,1,1,0.5,0.5,0.0,0.0,0.16666666666666666,0.5
2667,"Show me publications by authors of ""Dynamical instability and the expansion-free condition"" that cover the topic of cavity evolution in relativistic fluids.",2,1,1,0.5,0.5,1.0,1.0,1.0,1.0
9054,Which publications from Wrocław University of Economics researchers focus on transitions in their studies?,3,3,0,1.0,1.0,0.0,0.0,0.14285714285714285,1.0
7838,Are there any research articles from Dresden University of Technology that analyze LHC data seeking novel resonances within the context of Quark-Gluon plasma?,1,1,0,1.0,1.0,0.0,1.0,0.25,1.0
13094,Publications on plasma-generated magnetic fields authored by Hashemite University researchers,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
6732,"Show me papers examining dual-band phased array antenna technologies, authored by the co-authors of the publication 'Dual-Band Wide-Angle Scanning Planar Phased Array in X/Ku-Bands'.",4,3,1,0.75,0.75,1.0,1.0,1.0,0.5
12096,Show me publications by A. Sandacz on the topic of gluon polarization.,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
5111,"Which publications from the co-authors of ""Antenna Array Geometries to Reduce the Compute Load in Radio Telescopes"" also discuss efficient techniques for analyzing radio telescope data?",4,3,1,0.75,0.75,1.0,1.0,1.0,0.75
11250,Search for publications by Neeraj Tripathi focusing on the impact of polarization on GaN photocathodes.,2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
32,I'm looking for publications on the adjustment of topological phases within the pseudospectrum domain through system parameter alteration.,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
