id,orig_mrr,new_mrr,orig_h1,new_h1,orig_h5,new_h5
8939,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0
1340,0.05555555555555555,0.05263157894736842,0.0,0.0,0.0,0.0
9578,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0
7047,0.05,0.058823529411764705,0.0,0.0,0.0,0.0
3630,0.0625,0.5,0.0,0.0,0.0,1.0
9336,0.07142857142857142,0.0625,0.0,0.0,0.0,0.0
4452,0.06666666666666667,0.0625,0.0,0.0,0.0,0.0
904,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0
7043,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0
7867,0.05,0.05,0.0,0.0,0.0,0.0
4259,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0
2825,0.1,0.5,0.0,0.0,0.0,1.0
5449,0.07692307692307693,0.07142857142857142,0.0,0.0,0.0,0.0
1541,0.08333333333333333,0.09090909090909091,0.0,0.0,0.0,0.0
2855,0.1,0.09090909090909091,0.0,0.0,0.0,0.0
10665,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
1172,1.0,0.5,1.0,0.0,1.0,1.0
3365,1.0,0.3333333333333333,1.0,0.0,1.0,1.0
967,0.05263157894736842,0.09090909090909091,0.0,0.0,0.0,0.0
631,1.0,1.0,1.0,1.0,1.0,1.0
10411,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
10715,0.1,0.14285714285714285,0.0,0.0,0.0,0.0
9714,1.0,1.0,1.0,1.0,1.0,1.0
9382,1.0,1.0,1.0,1.0,1.0,1.0
8772,1.0,1.0,1.0,1.0,1.0,1.0
7945,1.0,1.0,1.0,1.0,1.0,1.0
3632,1.0,1.0,1.0,1.0,1.0,1.0
8161,0.1111111111111111,1.0,0.0,1.0,0.0,1.0
2041,1.0,1.0,1.0,1.0,1.0,1.0
5496,1.0,1.0,1.0,1.0,1.0,1.0
8814,1.0,0.5,1.0,0.0,1.0,1.0
7152,1.0,1.0,1.0,1.0,1.0,1.0
1075,1.0,1.0,1.0,1.0,1.0,1.0
1804,1.0,1.0,1.0,1.0,1.0,1.0
10551,1.0,1.0,1.0,1.0,1.0,1.0
4344,1.0,1.0,1.0,1.0,1.0,1.0
5527,1.0,1.0,1.0,1.0,1.0,1.0
10573,1.0,0.5,1.0,0.0,1.0,1.0
2287,1.0,1.0,1.0,1.0,1.0,1.0
3738,1.0,1.0,1.0,1.0,1.0,1.0
