query_id,query_text,total_answers,retrieved_count,missed_count,recall@50,recall@20,hit@1,hit@5,mrr,recall@20_vss_merged
5664,Could you show me a collection of scholarly articles related to Nitrobenzene that discuss kinetic models for laser-induced fragmentation?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
7208,Publications by authors affiliated with Ussuriysk Astrophysical Observatory on the relationship between eruptive filaments and solar magnetic fields,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0
11913,"Looking for papers having a coauthor in common with ""Quantitative analysis of strain distribution in InAs/InAs1−xSbx superlattices"", within the same research discipline, and suggesting a novel FPA architecture.",4,0,4,0.0,0.0,0.0,0.0,0.0,0.0
4429,"Are there any papers authored by the same writer as ""Triton photodisintegration in three-dimensional approach"", discussing a nuclear process from 2013, and within the same discipline as the primary paper?",1,1,0,1.0,1.0,0.0,0.0,0.05,0.0
9819,Show me papers where Davood Abbaszadeh is the author and the topic is the creation of PLEDs utilizing a stable aluminum cathode in air.,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
8608,Show me publications by Li Yi on the investigation of flow and nonflow elements in particle collision events.,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
11621,"Show me the papers that are authored by the coauthors of ""Self-Dual Soliton Solution in a Generalized Jackiw-Pi Model"", and discuss compacton configurations.",1,1,0,1.0,1.0,0.0,1.0,0.5,1.0
936,Could you find any papers written by Yan Xu focusing on the research of the impact of additives? I'm particularly interested in those which offer an analysis of the effects of these additives.,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
3345,2017 publications on multiplex networks by Central European University researchers,2,0,2,0.0,0.0,0.0,0.0,0.0,0.5
5883,Search for publications on nanomaterials synthesis by authors affiliated with Khadir Mohideen College.,2,2,0,1.0,1.0,0.0,0.0,0.0625,0.0
2999,Show me the research papers written by Bin Shao focusing on thermoelectric properties.,2,0,2,0.0,0.0,0.0,0.0,0.0,0.5
4308,"Can you find papers that explore the impact of variables on horizontal buoyant jets and have referenced or been referenced by the study ""A convective-like energy-stable open boundary condition for simulations of incompressible flows""?",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
3331,"What are the papers discussed about planet pairs near resonances that also reference the paper ""Eight planets in four multi-planet systems via transit timing variations in 1350 days?",9,9,0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778
1320,"Does the Sainsbury Laboratory have any publications on Supernovae, incorporating recent molecular data in their examination of these cosmic events?",2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
