query_id,query_text,total_answers,retrieved_count,missed_count,recall@50,recall@20,hit@1,hit@5,mrr,recall@20_vss_merged
2746,"Are there any fun wristbands available that reflect my love for riding, specifically with a knobby or sand paddle tire design? It would be cool if it could also make a 'BRAAWAP!!' sound. Any recommendations?",8,4,4,0.5,0.5,1.0,1.0,1.0,1.0
3214,"I'm in search of a classy hunting knife that's roughly 13.5 inches in length. I've previously purchased and enjoyed the Best.Buy.Damascus1 Red Wood 12"" Fixed Blade Custom 440c Stainless Steel Hunting Knife. Any recommendations for a similar style or something that would pair well with this knife would be appreciated.",1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
7375,What are some recommended aminco branded lanyard key chains?,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
3523,Looking for a Michigan Wolverines t-shirt with a comfortable rib-knit collar and a screen printed graphic. Any suggestions for ones that are also soft to the touch?,14,0,14,0.0,0.0,0.0,0.0,0.0,0.0
8198,Looking for a gun and cell phone holster that is safer and more convenient than carrying a pistol in a pocket. I currently have a brown Roma Leather Belt Pistol Concealed Carry Pack and need a product that works well with it. Any suggestions?,14,8,6,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,0.5
4505,"Do you carry the DT Swiss replacement hub axle that is compatible with a DT Swiss 350 non-boost hub? I'm also thinking of pairing it with a DT Swiss Mountain Freehub Body. In addition, I'm considering purchasing DT Swiss 240S Conversion End Caps. Are these items a good fit together?",2,2,0,1.0,1.0,0.0,1.0,0.25,1.0
8050,"Is there a pair of Under Armour adult batting gloves with a unique Striker Camo design? I currently own an Under Armour UA Motive Neon Yellow in X-Large, and I'm keen on matching it with gloves from the same brand.",1,1,0,1.0,1.0,0.0,0.0,0.09090909090909091,1.0
2614,What sports team logo pillowcases would pair well with a recently purchased NCAA Georgia Bulldogs Micro Fiber Pillow Case? It should be soft and ideal for sprucing up a boy's room. Any recommendations?,2,0,2,0.0,0.0,0.0,0.0,0.0,0.5
4722,"Looking for a high quality batting glove with a neoprene wristband that's redesigned for comfort. It should include technology to stop the leather from bunching and offer a smooth, flexible fit. We had issues earlier with gloves being small and wearing out rapidly, so are there any high-grade alternatives available?",2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
8291,Can you suggest a pair of comfortable shoes that come in a standard shoe box of around 14 x 9 x 5 inches?,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0
614,"What's a recommended Coleman catalytic heater known for being safe, efficient and reliable, without a focus on features like adjustability or instant starting systems?",4,4,0,1.0,1.0,1.0,1.0,1.0,1.0
2235,"Can you recommend a set of long sleeve t-shirts for Chicago Bulls that provides versatility, giving three distinct style options from the combination of two shirts?",4,0,4,0.0,0.0,0.0,0.0,0.0,0.0
8903,Can you suggest a comfortable and health-promoting bicycle back seat cushion? I've heard that those with honeycomb design surfaces are good.,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
3889,"Can you find a lightweight women's v-neck tee, made mostly of cotton and rayon and having a shipping weight of approximately 5.6 ounces?",2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
8925,Where can I find durable and supportive shoelaces from HICKIES?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
2241,"Looking for Nike swimming goggles with a silicone double strap for comfort. They should ideally have wrap-around, optically polished lenses for a clear underwater view.",8,6,2,0.75,0.75,1.0,1.0,1.0,0.5
2288,What are some wireless optical mouse options from Tribeca?,1,1,0,1.0,1.0,0.0,1.0,0.25,1.0
6528,Does Amazon have any Green Bay brand light-up ornaments in stock?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
1671,"I'm on the hunt for a portable travel spinning rod ideal for air travel. I've had positive experiences with the Okuma Nomad Inshore Saltwater Multi Action Travel Rods-NTi-S-703ML-M (Blue/Black, 7-Feet) and Okuma NOMAD Travel Casting Rod (15-40 Lbs, 7-Feet, Medium-Light), which I found perfect for my travels. I'm also interested in finding something similar to the DAIWA TRIPLE B B.B.B 666TLFS by Daiwa spinning rod.",3,0,3,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
597,What are some recommended Glock shooting sports caps with adjustable straps suitable for larger head sizes?,10,9,1,0.9,0.9,1.0,1.0,1.0,0.8
5716,Are there any metal hangers suitable for hanging clay pigeons during shooting practice that are compatible with a TyCa Industries target stand?,9,0,9,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
